Track	Artist	Lyrics	Date	Gold	K1	K2	K3	L1	L2	L3	Sim K1	Sim K2	Sim K3	Sim L1	Sim L2	Sim L3
All I Can Do	Dolly Parton	Well, it's all I can do to keep from falling in love with you All I can do to keep from letting it show Yeah, it's all I can do to keep from falling in love with you All I can do to keep from telling you soI wasn't looking for love when I found youJust someone to be with and have a good timBut I get these strange funny feelings around you When you're not with me, you're still on my mind And it's all I can do to keep from falling in love with youAll I can do to keep from letting it showYeah it's all I can do to keep from falling in love with youAll I can do to keep from telling you soI had intended to wait for a long timeI thought that love would just mess up my plans'Cause I had big plans for a bright shining futureCould this be my future that's holding my handAnd it's all I can do to keep from falling in love with youAll I can do to keep from letting it showYeah it's all I can do to keep from falling in love with youAll I can do to keep from telling you soI need to tell you how I feel about youBut I'm so afraid that you don't feel the sameBut if I don't tell you how I feel about youI just might lose you, can I take that chance?And it's all I can do to keep from falling in love with youAll I can do to keep from letting it showYeah it's all I can do to keep from falling in love with youAll I can do to keep from telling you soAnd it's all I can do to keep from falling in love with youAll I can do to keep from letting it showYeah it's all I can do to keep from falling in love with youAll I can do to keep from telling you soYeah it's all I can do to keep from falling in love with youAll I can do to keep from letting it showYeah it's all I can do to keep from falling in love with youAll I can do to keep from telling you so	Yes	Love	Love	Love	Determination	Love	Love	Love	1.0	1.0	0.21	1.0	1.0	1.0
Deeper Understanding	Kate Bush	As the people here grow colderI turn to my computer And spend my evenings with itLike a friendI was loading a new programI had ordered from a magazineAre you lonely, are you lost?This voice console is a mustI press ExecuteHello, I know that you've been feeling tiredI bring you love and deeper understandingHello, I know that you're unhappyI bring you love and deeper understandingWell I've never felt such pleasureNothing else seemed to matterI neglected my bodily needsI did not eat, I did not sleepThe intensity increasing'Til my family found me and intervenedBut I was lonely, I was lostWithout my little black boxI pick up the phone and go ExecuteHello, I know that you've been feeling tiredI bring you love and deeper understandingHello, I know that you're unhappyI bring you love and deeper understandingI turn to my computer like a friendI need deeper understandingGive me deeper understanding	Yes	Love	Loneliness	Loneliness	Introspection	Loneliness	Loneliness	Loneliness	0.39	0.39	0.18	0.39	0.39	0.39
Crazy Little Thing Called Love	Queen	This thing called loveI just can't handle itThis thing called loveI must get 'round to itI ain't readyCrazy little thing called loveThis thing (this thing) called love (called love)It cries (like a baby), in a cradle all nightIt swings (woo), it jives (woo)Shakes all over like a jellyfishI kinda like itCrazy little thing called loveThere goes my babyShe knows how to rock and rollShe drives me crazyShe gives me hot and cold feverShe leaves me in a cool, cool sweatI gotta be cool, relaxGet hip and get on my tracksTake a back seat, hitchhikeAnd take a long ride on my motorbikeUntil I'm readyCrazy little thing called loveYeahI gotta be cool, relaxGet hip and get on my tracksTake a back seat, hitchhikeAnd take a long ride on my motorbikeUntil I'm ready (ready Freddie)Crazy little thing called loveThis thing called loveI just can't handle itThis thing called loveI must get 'round to itI ain't readyCrazy little thing called loveCrazy little thing called love (yeah, yeah)Crazy little thing called love (yeah, yeah)Crazy little thing called love (yeah, yeah)Crazy little thing called love (yeah, yeah)Crazy little thing called love (yeah, yeah)Crazy little thing called love (yeah, yeah)Crazy little thing called love (yeah, yeah)Crazy little thing called love (yeah, yeah)	Yes	Love	Love	Love	Romance	Love	Love	Love	1.0	1.0	0.56	1.0	1.0	1.0
Love Song	Lana del Rey	In the car, in the car, in the backseat, I'm your babyWe go fast, we go so fast, we don't moveI believe in a place you take meMake you real proud of your babyIn your car, I'm a star and I'm burnin' through youIn your car, I'm a star and I'm burnin' through youOh, be my once in a lifetimeLying on your chest, in my party dressI'm a fucking mess but IOh, thanks for the high lifeBaby, it's the best, that's a testAnd yes, now I'm here with you and IWould like to think that you would stick aroundYou know that I'd just die to make you proudThe taste, the touch, the way we loveIt all comes down to make the sound of our love songDream a dream, here's a sceneTouch me anywhere 'cause I'm your babyGrab my waist, don't waste any partI believe that you see me for who I amSo spill my clothes on the floor of your new carIs it safe, is it safe to just be who we are?Is it safe, is it safe to just be who we are?Oh, be my once in a lifetimeLying on your chest, in my party dressI'm a fucking mess but IOh, thanks for the high lifeBaby, it's the best, pass the testAnd yes, now I'm here with you and IWould like to think that you would stick aroundYou know that I'd just die to make you proudThe taste, the touch, the way we loveIt all comes down to make the sound of our love songThe taste, the touch, the way we loveIt all comes down to make the sound of our love song	Yes	Love	Love	Love	Love	Love	Love	Love	1.0	1.0	1.0	1.0	1.0	1.0
Meaning of Life	Kelly Clarkson	Baby, I've been living in the darkThe only friend I've got here is my broken heartFeeling like I've finally had enoughLiving like an animal can be so roughI've been waiting so long for you to come my wayAnd now I, I can't wait another dayWhen you hold me, I finally seeWhen you say love, I know what it meansI was broke down so long in the darkUntil you showed me the light (baby)'Cause when you kiss me, I know who I amAnd when you let me feel it I understandWhen I'm lost I just look in your eyesYou show me the meaning of lifeMeaning of life, life, life, lifeYou show me the meaning of lifeMeaning of life, life, life, lifeYou show me the meaning of lifeEvery time I spend a lonely night, yeahThinking I won't make it 'til the morning lightAll I do is think of you and I (you and I)Suddenly the wrongs they start to feel so rightI've been waiting so long for you to come my way (come my way, yeah)And now I, I can't wait another dayWhen you hold me, I finally seeWhen you say love, I know what it meansI was broke down so long in the darkUntil you showed me the light'Cause when you kiss me, I know who I amAnd when you let me feel it, I understandWhen I'm lost I just look in your eyesYou show me the meaning of lifeMeaning of life, life, life, lifeYou show me the meaning of lifeMeaning of life, life, life, lifeShow me the meaning of lifeYou show me loveYou lift me upYou take me higher and higherThe truth is I'm in loveCan you feel us, we're flying higherOh, you show me loveYou lift me upYou take me higher and higherThe truth is I'm in loveCan you feel us, we're flying higherMeaning of life, life, life, lifeYou show me the meaning of lifeMeaning of life, life, life, lifeShow me the meaning of lifeShow me the meaning of lifeShow me the meaning of life	Yes	Love	Love	Self-discovery	Existentialism	Love	Love	Love	1.0	0.4	0.11	1.0	1.0	1.0
After All	Elton John ft Charlie Puth	I lie awake and realizeThat you're better than my dreamsThought I found love so many times'Til you showed me what it meansOh-oh, nothing compares to youOh no, babyThey were just doing it wrongI gave up on love until you made me believe in it after allAfter all, mmh-mmhIf you never fell out of the skyI don't know what I would doI wouldn't trade one thousand livesFor the one I have with youOh-oh, nothing compares to youOh no, babyThey were just doing it wrongI gave up on love until you made me believe in it after allAfter all, oh-ahBaby, after all, oh-oh-oh-woahIt's not the same, not the same, not the same, ohNothing compares to youOh no, babyThey were just doing it wrong (doing it wrong)I gave up on love until you made me believe in it after all (after all)After all, ohNothing compares to youOh no, baby (oh no, baby)They were just doing it wrong (doing it wrong)I gave up on love until you made me believe in it after all (after all)After all, oh	No	Love	Friendship	Friendship	Collaboration	Love	Love	Love	0.59	0.59	0.22	1.0	1.0	1.0
All Night Parking	Adele	I know you've got things to do (I do too)I just want to spend all my time with you (feels so good)I'm so hard to impressDon't leave me on this stretch aloneWhen I'm out at a partyI'm just excited to get homeAnd dream about youAll night longI don't know how you got through to me (I'm so cold)It's all happening so easily (like, Oh my God)It's so hard to digestUsually, I'm best aloneBut every time that you textI want to get on the next flight homeAnd dream next to youAll night longMaybe it's the way you remind me of (where I come from)Or how you make me feel beautiful (and then some)The sight of you is dramaticOne glimpse and I panic insideI get lost in our hours'Cause you possess powers I can't fightThat's why I dream about youAll night longAll night longAll night	No	Love	Loneliness	Loneliness	Longing	Love	Love	Love	0.39	0.39	0.5	1.0	1.0	1.0
Best of Me	Alicia Keys	He, heHe, heYou get the side of meI would hold back and not revealYou feed the mysteryYou are my red and my blue pillIt makes me come aliveDon't be a lie, it feels so realYou get the best of meWe can live onThe airDo you understand'? Do you understand? Do you understand? HaBaby babyWe gotta rock foreverHaBaby babyWe gotta rock forever(Forever)Ha, haYou get the best of meHa, haYou got a way to make me feelTogetherIf you were mines then we could build a castle from tearsOnly dry eyes, I would love on you for years Ill never want another baby, let's just be realOohHaBaby baby (oh)We gotta rock foreverForever babyHaBaby babyWe gotta rock forever(Forever)Forever babyHa, ha (ooh)You get the best of meHa, haYou got a way to make me feel	No	Love	Love	Love	Self-empowerment	Love	Love	Love	1.0	1.0	0.39	1.0	1.0	1.0
Halley’s Comet	Billie Eilish	I don't want it And I don't want to want you But in my dreams I seem to be more honest And I must admit, you've been in quite a few Halley's Comet Comes around more than I doBut you're all it takes for me to break a promiseSilly me to fall in love with youI haven't slept since SundayMidnight for me is  a.m. for youBut my sleepless nights are betterWith you than nights could ever be alone, ooh-ooh-oohI was good at feeling nothing, now I'm hopelessWhat a drag to love you like I do, ooh-ooh, ooh, oohOoh-ooh-ooh, ooh, ooh-ooh, oohI've been loved before, but right now in this momentI feel more and more like I was made for youFor youI'm sitting in my brother's roomHaven't slept in a week or two, or twoI think I might have fallen in loveWhat am I to do?	No	Love	Death	Wonder	Wonder	Love	Love	Love	0.35	0.63	0.63	1.0	1.0	1.0
Overpass Graffiti	Ed Sheeran	is is a dark parade Another rough patch to rain on, to rain onI know your friends may sayThis is a cause for celebration, hip-hip-hooray, lovePhotographs in sepia tonesIt's so still, the fire's barely fighting the cold, aloneThere are times when I can feel your ghostJust when I'm almost letting you goThe cards were stacked against us bothI will always love you for what it's worthWe'll never fade like graffiti on the overpassAnd I know time may change the way you think of usBut I'll remember the way we were, you were the first full stopLove that will never leaveBaby, you will never be lost on meThis is a goddamn shameI never wanted to break it, or leave us taintedKnow I should walk awayBut I just can't replace us, or even erase usThe car was stuck, the engine stalledAnd both of us got caught out in the snow, aloneThere were times when I forget the lowsAnd think the highs were all that we'd ever knownThe cards were stacked against us bothI will always love you for what it's worthWe'll never fade like graffiti on the overpassAnd I know time may change the way you think of usBut I'll remember the way we were, you were the first full stopLove that will never leaveBaby, you will never be lost on meLost on meBaby, you will never be lost on meLost on meWell, I will always love you for what it's worthWe'll never fade like graffiti on the overpassAnd I know time may change the way you think of usBut I'll remember the way we were, you were the first full stopLove that will never leaveBaby, you will never be lost on meYeah, yeah, yeahYeah, yeah, yeahLost on meOoh, graffiti on the overpass	No	Love	Loneliness	Reflection	Urban Life	Love	Love	Love	0.39	0.33	0.51	1.0	1.0	1.0
