Track	Artist	Total words	N. unique words	Most common words
All I Can Do	Dolly Parton	130	55	['keep', 'love', 'falling', 'youall', 'letting']
Deeper Understanding	Kate Bush	82	59	['deeper', 'know', 'bring', 'love', 'turn']
Crazy Little Thing Called Love	Queen	174	60	['thing', 'called', 'yeah', 'little', 'love']
Love Song	Lana del Rey	131	72	"[""i'm"", 'make', 'car', 'safe', 'taste']"
Meaning of Life	Kelly Clarkson	176	78	['life', 'meaning', 'show', 'feel', 'lifemeaning']
After All	Elton John ft Charlie Puth	76	38	['oh', 'love', 'youoh', 'compares', 'gave']
All Night Parking	Adele	75	54	"['night', ""i'm"", 'get', 'dream', 'youall']"
Best of Me	Alicia Keys	89	62	['forever', 'get', 'gotta', 'rock', 'best']
Halley’s Comet	Billie Eilish	71	56	['ooh', 'want', 'love', 'slept', 'nights']
Overpass Graffiti	Ed Sheeran	164	91	['never', 'way', 'us', 'know', 'may']
Maureen	Sade	191	79	['ooh', 'ba', 'meet', 'new', 'never']
Way Back	TLC	235	125	['way', 'ever', 'go', 'things', 'back']
In Bloom	Nirvana	104	28	['likes', 'meansknows', 'onewho', 'pretty', 'songsand']
Bobby Jean	Bruce Springsteen	114	89	['could', 'wished', 'ever', 'say', 'goodbye']
Grigio Girls	Lady Gaga	144	71	['ooh', 'pinotpinot', 'grigio', 'oh', 'make']
Best Friends	The Weeknd	154	74	['yeah', 'best', 'friend', 'oh', 'friends']
Blue Banisters	Lana del Rey	184	146	"['banisters', 'said', ""there's"", ""that's"", 'man']"
Eddie	Red Hot Chili Peppers*	108	82	"['remember', 'last', 'night', ""i'm"", 'please']"
24	Kanye West	180	82	"['gonna', ""god's"", 'make', 'feels', 'alright']"
Eyes Closed	Ed Sheeran	221	109	"['eye', ""dancin'"", 'eyes', 'keep', ""i'll""]"
Candy Shop	50 Cent	282	161	['til', 'spot', 'take', 'candy', 'going']
Aberdeen	Kurt Cobain	399	320	['got', 'day', 'went', 'would', 'school']
Lemon Song	Led Zeppelin	158	105	['baby', 'yeah', 'hey', 'babe', 'whoa']
Birthday cake	Rihanna	99	55	['cake', 'name', 'put', 'cakecake', 'wanna']
Black Star	Radiohead	77	53	['falling', 'youwhat', 'coming', 'black', 'starblame']
Cuff It	Beyonce	298	127	"['fuck', 'yeah', 'go', ""gon'"", 'night']"
Virgo's Groove	Beyonce	319	150	['love', 'right', 'baby', 'come', 'want']
Summer Renaissance	Beyonce	252	124	['want', 'good', 'make', 'way', 'wanna']
Take My breath	The Weeknd	172	82	['breath', 'oh', 'take', 'away', 'babe']
